,match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,play_status,match_status,match_status_360,last_updated,last_updated_360,metadata,match_week,competition_stage,stadium,referee
0,3856041,2023-03-05,14:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 1475, 'home_team_name': 'Manchester United', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 128, 'name': 'Marc Skinner', 'nickname': None, 'dob': '1983-03-23', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 2652, 'away_team_name': 'Leicester City WFC', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 639, 'name': 'Willie Kirk', 'nickname': None, 'dob': '1978-06-07', 'country': {'id': 201, 'name': 'Scotland'}}]}",5.0,1.0,,False,False,Normal,available,unscheduled,2023-03-07T01:18:06.866218,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",14,"{'id': 1, 'name': 'Regular Season'}","{'id': 4979, 'name': 'Leigh Sports Village Stadium', 'country': {'id': 68, 'name': 'England'}}","{'id': 1004975, 'name': 'Melissa Burgin', 'country': {'id': 68, 'name': 'England'}}"
1,3856039,2023-03-05,15:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 967, 'home_team_name': 'Everton LFC', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 1002151, 'name': 'Brian Sørensen', 'nickname': None, 'dob': '1980-06-15', 'country': {'id': 61, 'name': 'Denmark'}}]}","{'away_team_id': 2647, 'away_team_name': 'Aston Villa', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 3978, 'name': 'Carla Ward', 'nickname': None, 'dob': '1982-12-21', 'country': {'id': 68, 'name': 'England'}}]}",0.0,2.0,,False,False,Normal,available,unscheduled,2023-03-06T02:32:24.174447,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",14,"{'id': 1, 'name': 'Regular Season'}","{'id': 4989, 'name': 'Walton Hall Park', 'country': {'id': 68, 'name': 'England'}}","{'id': 898, 'name': 'Amy Fearn', 'country': {'id': 68, 'name': 'England'}}"
2,3852829,2023-02-12,14:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 749, 'home_team_name': 'Tottenham Hotspur Women', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 5389, 'name': 'Rehanne Skinner', 'nickname': None, 'dob': '1979-11-13', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 1475, 'away_team_name': 'Manchester United', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 128, 'name': 'Marc Skinner', 'nickname': None, 'dob': '1983-03-23', 'country': {'id': 68, 'name': 'England'}}]}",1.0,2.0,,False,False,Normal,available,unscheduled,2023-02-15T06:41:39.185889,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",1,"{'id': 1, 'name': 'Regular Season'}","{'id': 600, 'name': 'Tottenham Hotspur Stadium', 'country': {'id': 68, 'name': 'England'}}","{'id': 898, 'name': 'Amy Fearn', 'country': {'id': 68, 'name': 'England'}}"
3,3856035,2023-02-05,14:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 1475, 'home_team_name': 'Manchester United', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 128, 'name': 'Marc Skinner', 'nickname': None, 'dob': '1983-03-23', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 967, 'away_team_name': 'Everton LFC', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 1002151, 'name': 'Brian Sørensen', 'nickname': None, 'dob': '1980-06-15', 'country': {'id': 61, 'name': 'Denmark'}}]}",0.0,0.0,,False,False,Normal,available,unscheduled,2023-02-20T02:56:27.311794,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",13,"{'id': 1, 'name': 'Regular Season'}","{'id': 4979, 'name': 'Leigh Sports Village Stadium', 'country': {'id': 68, 'name': 'England'}}","{'id': 1711, 'name': 'Emily Heaslip', 'country': {'id': 68, 'name': 'England'}}"
4,3856037,2023-02-05,20:45:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 972, 'home_team_name': 'West Ham United LFC', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 1002150, 'name': 'Paul Konchesky', 'nickname': None, 'dob': '1981-05-15', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 968, 'away_team_name': 'Arsenal WFC', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 1771, 'name': 'Jonas Eidevall', 'nickname': None, 'dob': '1983-01-28', 'country': {'id': 220, 'name': 'Sweden'}}]}",0.0,0.0,,False,False,Normal,available,unscheduled,2023-02-19T05:14:26.996553,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",13,"{'id': 1, 'name': 'Regular Season'}","{'id': 116891, 'name': 'Chigwell Construction Stadium', 'country': {'id': 68, 'name': 'England'}}","{'id': 2127, 'name': 'Richie Watkins', 'country': {'id': 68, 'name': 'England'}}"
5,3856034,2023-02-05,14:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 749, 'home_team_name': 'Tottenham Hotspur Women', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 5389, 'name': 'Rehanne Skinner', 'nickname': None, 'dob': '1979-11-13', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 971, 'away_team_name': 'Chelsea FCW', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 152, 'name': 'Emma Hayes', 'nickname': None, 'dob': '1976-10-18', 'country': {'id': 68, 'name': 'England'}}]}",2.0,3.0,,False,False,Normal,available,unscheduled,2023-02-17T11:35:25.683249,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",13,"{'id': 1, 'name': 'Regular Season'}","{'id': 4420, 'name': 'Brisbane Road', 'country': {'id': 68, 'name': 'England'}}","{'id': 937, 'name': 'Abigail Byrne', 'country': {'id': 68, 'name': 'England'}}"
6,3856051,2023-03-26,14:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 1475, 'home_team_name': 'Manchester United', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}}","{'away_team_id': 972, 'away_team_name': 'West Ham United LFC', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}}",,,,False,False,Normal,scheduled,unscheduled,2022-09-04T20:40:46.007907,,{},16,"{'id': 1, 'name': 'Regular Season'}","{'id': 4979, 'name': 'Leigh Sports Village Stadium', 'country': {'id': 68, 'name': 'England'}}",
7,3856045,2023-03-12,16:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 966, 'home_team_name': 'Liverpool WFC', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}}","{'away_team_id': 749, 'away_team_name': 'Tottenham Hotspur Women', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}}",,,,False,False,Normal,scheduled,unscheduled,2022-09-04T20:40:46.007907,,{},15,"{'id': 1, 'name': 'Regular Season'}","{'id': 579, 'name': 'Prenton Park', 'country': {'id': 68, 'name': 'England'}}",
8,3856046,2023-03-12,16:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 965, 'home_team_name': 'Brighton & Hove Albion WFC', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}}","{'away_team_id': 746, 'away_team_name': 'Manchester City WFC', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}}",,,,False,False,Normal,scheduled,unscheduled,2022-09-04T20:40:46.007907,,{},15,"{'id': 1, 'name': 'Regular Season'}","{'id': 4494, 'name': 'Broadfield Stadium', 'country': {'id': 68, 'name': 'England'}}",
9,3856049,2023-03-12,17:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 235, 'season_name': '2022/2023'}","{'home_team_id': 2652, 'home_team_name': 'Leicester City WFC', 'home_team_gender': 'female', 'home_team_youth': False, 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}}","{'away_team_id': 967, 'away_team_name': 'Everton LFC', 'away_team_gender': 'female', 'away_team_youth': False, 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}}",,,,False,False,Normal,scheduled,unscheduled,2022-09-04T20:40:46.007907,,{},15,"{'id': 1, 'name': 'Regular Season'}","{'id': 20, 'name': 'King Power Stadium ', 'country': {'id': 68, 'name': 'England'}}",
