,inside_18,first_touch,bodypart_Head,bodypart_Left Foot,bodypart_Other,bodypart_Right Foot,technique_Ground,technique_Volley,assist_Ground Pass,assist_High Pass,assist_Low Pass,assist_Unassisted,state_of_play_Open Play - Shot,state_of_play_Set Piece - Direct Free Kick,state_of_play_Set Piece - Penalty,time,shot_distance,shot_angle
0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.856605062434514,0.47955707590491636,-0.9694886186359006
1,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.3459530118942304,0.948361492062134,-0.20283533910807633
2,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.08762971328353077,0.18704991663464773,-0.3168283548281311
3,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.22744341312916405,-0.6223122627131839,1.3066389269884677
4,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5901346848640687,-1.6020918642408575,-0.6969964979348124
5,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0663256122029638,-0.470406115113573,0.19858087241997568
6,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.541531936021819,2.0268371814539767,0.5015094154543781
7,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4503209850184355,1.2181722560276775,-1.092095716148403
8,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.625580411585497,1.4446529918646964,-0.09372363640374186
9,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33181138625336914,-0.6303914560109746,0.3941205291085332
10,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.3105072851728021,-1.34932305899273,0.4828455715707422
11,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2973502630519807,-0.628367592318951,2.090520370101187
12,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6114387859446357,0.13641763488494077,-1.521364125472035
13,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6114387859446357,0.9291382735768007,1.2538058919947899
14,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,-0.6566963974023654,0.10784587753952914
15,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2760461619714139,-0.21729883795391883,0.8816775585610599
16,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,-0.09047131800770927,-1.5885539634531252
17,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8910661856359023,-1.0969564128118727,-0.11009039180939184
18,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2973502630519807,-0.8366908336793037,-1.0513223956641515
19,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.751252485790269,0.40549050547944987,1.632251218742982
20,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19199768640773582,1.9225562132339697,0.8170719451177039
21,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.2973502630519807,0.28145251246555986,-0.5924789721864498
22,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.380414135095619,-1.3682812744075747,-0.12416005873705589
23,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,-0.9558351745885598,-1.3510924420413233
